"Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Code","Year","Age.standardized.suicide.rate...Sex..both.sexes","Higher.than.average","Happiness_to_Suicide_Ratio"
"Afghanistan",154,3.203,0.35,0.517,0.361,0,0.158,0.025,"AFG",2019,5.96,FALSE,0.53741610738255
"Armenia",116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,"ARM",2019,2.66,FALSE,1.71390977443609
"Azerbaijan",90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,"AZE",2019,3.97,FALSE,1.31183879093199
"Bahrain",37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,"BHR",2019,7.2,TRUE,0.860972222222222
"Bangladesh",125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,"BGD",2019,3.85,FALSE,1.1574025974026
"Bhutan",95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,"BTN",2019,5.07,FALSE,1.00236686390533
"Cambodia",109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,"KHM",2019,5.49,FALSE,0.856102003642987
"China",93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,"CHN",2019,6.67,FALSE,0.778260869565217
"Cyprus",49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,"CYP",2019,3.18,TRUE,1.90125786163522
"Georgia",119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,"GEO",2019,7.65,FALSE,0.590718954248366
"India",140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,"IND",2019,12.9087,FALSE,0.31103054529116
"Indonesia",92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,"IDN",2019,2.55,FALSE,2.03607843137255
"Iran",117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,"IRN",2019,5.13,FALSE,0.886549707602339
"Iraq",126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,"IRQ",2019,4.74,FALSE,0.936075949367089
"Israel",13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,"ISR",2019,5.15,TRUE,1.38621359223301
"Japan",58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,"JPN",2019,12.2413,TRUE,0.480831284259025
"Jordan",101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,"JOR",2019,1.98,FALSE,2.47777777777778
"Kazakhstan",60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,"KAZ",2019,18.0523,TRUE,0.32178725148596
"Kuwait",51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,"KWT",2019,2.66,TRUE,2.26353383458647
"Kyrgyzstan",86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,"KGZ",2019,8.28,FALSE,0.635386473429952
"Laos",105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,"LAO",2019,5.98,FALSE,0.802006688963211
"Lebanon",91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,"LBN",2019,2.76,FALSE,1.88297101449275
"Malaysia",80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,"MYS",2019,5.77,FALSE,0.925303292894281
"Mongolia",83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,"MNG",2019,18.0245,FALSE,0.293212016976893
"Myanmar",131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,"MMR",2019,2.96,FALSE,1.47297297297297
"Nepal",100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,"NPL",2019,9.77,FALSE,0.502865916069601
"Pakistan",67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,"PAK",2019,9.77,TRUE,0.578607983623337
"Philippines",69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,"PHL",2019,2.54,TRUE,2.21692913385827
"Qatar",29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,"QAT",2019,4.66,TRUE,1.36781115879828
"Saudi Arabia",28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,"SAU",2019,5.43,TRUE,1.17403314917127
"Singapore",34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,"SGP",2019,9.65,TRUE,0.648911917098446
"South Korea",54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,"KOR",2019,21.1625,TRUE,0.278558771411695
"Sri Lanka",130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,"LKA",2019,12.8878,FALSE,0.338769999534443
"Syria",149,3.462,0.619,0.378,0.44,0.013,0.331,0.141,"SYR",2019,2.11,FALSE,1.64075829383886
"Tajikistan",74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,"TJK",2019,5.32,TRUE,1.02763157894737
"Thailand",52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,"THA",2019,7.95,TRUE,0.755723270440252
"Turkey",79,5.373,1.183,1.36,0.808,0.195,0.083,0.106,"TUR",2019,2.34,FALSE,2.29615384615385
"Turkmenistan",87,5.247,1.052,1.538,0.657,0.394,0.244,0.028,"TKM",2019,6.07,FALSE,0.864415156507413
"United Arab Emirates",21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,"ARE",2019,5.24,TRUE,1.30248091603053
"Uzbekistan",41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,"UZB",2019,8.28,TRUE,0.745652173913044
"Vietnam",94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,"VNM",2019,7.22,FALSE,0.716759002770083
"Yemen",151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,"YEM",2019,7.06,FALSE,0.478753541076487
